City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Victoria,HK,2021-09-12 14:12:06,22.2855,114.1577,88.32,85,100,9.06
68,Meulaboh,ID,2021-09-12 14:15:16,4.1363,96.1285,74.52,94,100,3.0
69,Vanimo,PG,2021-09-12 14:15:16,-2.6741,141.3028,78.75,88,100,6.49
70,Maple Creek,CA,2021-09-12 14:15:16,49.9168,-109.4848,50.88,89,83,4.7
71,Lianzhou,CN,2021-09-12 14:15:17,24.7811,112.3825,80.55,70,47,3.65
72,Provideniya,RU,2021-09-12 14:15:17,64.3833,-173.3,39.15,91,17,11.48
73,Longyearbyen,SJ,2021-09-12 14:15:17,78.2186,15.6401,37.24,65,40,11.5
74,Sao Joao Da Barra,BR,2021-09-12 14:15:17,-21.6403,-41.0511,82.49,78,51,9.44
75,Bandarbeyla,SO,2021-09-12 14:15:18,9.4942,50.8122,79.18,78,10,33.62
76,Salalah,OM,2021-09-12 14:15:18,17.0151,54.0924,82.49,89,75,10.36
77,Mount Isa,AU,2021-09-12 14:15:18,-20.7333,139.5,71.37,37,90,0.0
78,Broken Hill,AU,2021-09-12 14:10:43,-31.95,141.4333,45.03,59,0,18.92
79,Necochea,AR,2021-09-12 14:15:19,-38.5473,-58.7368,59.04,79,82,13.06
80,Leningradskiy,RU,2021-09-12 14:15:19,69.3833,178.4167,28.62,96,100,19.19
81,Lensk,RU,2021-09-12 14:15:19,60.7253,114.9278,49.1,94,100,6.78
82,Tazovskiy,RU,2021-09-12 14:15:20,67.4667,78.7,43.97,97,100,11.34
83,Naryan-Mar,RU,2021-09-12 14:15:20,67.6713,53.087,40.23,87,100,8.57
84,Greece,US,2021-09-12 14:15:20,43.2098,-77.6931,75.45,76,75,1.99
85,Newport,GB,2021-09-12 14:15:21,51.5877,-2.9984,71.2,66,100,2.08
86,Pascagoula,US,2021-09-12 14:15:21,30.3658,-88.5561,81.55,86,1,5.75
87,Richards Bay,ZA,2021-09-12 14:11:44,-28.783,32.0377,80.78,44,0,16.58
88,Parainen,FI,2021-09-12 14:15:21,60.3067,22.301,61.25,96,100,8.03
89,Safranbolu,TR,2021-09-12 14:15:22,41.2508,32.6942,69.53,46,77,6.4
90,Avarua,CK,2021-09-12 14:15:22,-21.2078,-159.775,73.45,88,75,9.22
91,Dwarka,IN,2021-09-12 14:15:22,22.2394,68.9678,81.39,88,100,17.25
92,Batticaloa,LK,2021-09-12 14:15:23,7.7102,81.6924,85.14,58,98,17.54
93,Lompoc,US,2021-09-12 14:14:30,34.6391,-120.4579,57.63,91,90,3.44
94,Mehamn,NO,2021-09-12 14:15:23,71.0357,27.8492,46.83,72,46,11.97
95,Puerto Colombia,CO,2021-09-12 14:15:23,10.9878,-74.9547,82.49,79,100,5.57
96,Tuktoyaktuk,CA,2021-09-12 14:15:24,69.4541,-133.0374,42.91,96,100,8.05
97,Thompson,CA,2021-09-12 14:15:24,55.7435,-97.8558,41.92,70,100,6.62
98,Marystown,CA,2021-09-12 14:15:24,47.1666,-55.1483,64.33,64,0,9.19
99,Narsaq,GL,2021-09-12 14:15:25,60.9167,-46.05,46.62,78,100,6.6
100,Sao Filipe,CV,2021-09-12 14:15:25,14.8961,-24.4956,81.34,75,48,13.4
101,Sobolevo,RU,2021-09-12 14:15:25,54.4299,31.8996,72.43,56,100,6.49
102,Saskylakh,RU,2021-09-12 14:15:25,71.9167,114.0833,44.6,62,6,4.76
103,Kodiak,US,2021-09-12 14:15:26,57.79,-152.4072,49.73,93,99,13.42
104,Boguchany,RU,2021-09-12 14:15:26,58.3814,97.4531,51.75,90,100,4.72
105,Marawi,PH,2021-09-12 14:15:26,7.9986,124.2928,65.64,91,100,2.19
106,Camaqua,BR,2021-09-12 14:15:27,-30.8511,-51.8122,70.66,65,45,5.08
107,Kaitangata,NZ,2021-09-12 14:15:27,-46.2817,169.8464,47.95,92,100,12.06
108,Zhanaozen,KZ,2021-09-12 14:15:27,43.3,52.8,82.8,16,0,10.6
109,Iquique,CL,2021-09-12 14:11:35,-20.2208,-70.1431,60.84,63,91,6.44
110,Lavrentiya,RU,2021-09-12 14:15:28,65.5833,-171.0,39.72,79,97,10.36
111,Cabedelo,BR,2021-09-12 14:15:28,-6.9811,-34.8339,83.07,71,93,16.26
112,Arraial Do Cabo,BR,2021-09-12 14:15:28,-22.9661,-42.0278,73.26,88,75,13.8
113,Ancud,CL,2021-09-12 14:15:29,-41.8697,-73.8203,47.73,81,67,17.43
114,Qaanaaq,GL,2021-09-12 14:15:29,77.484,-69.3632,24.1,61,10,8.23
115,Butaritari,KI,2021-09-12 14:15:16,3.0707,172.7902,83.37,74,100,21.61
116,Srednekolymsk,RU,2021-09-12 14:15:29,67.45,153.6833,37.33,55,100,7.78
117,Norfolk,US,2021-09-12 14:15:30,42.1668,-71.2495,74.98,77,1,3.0
118,Sussex,US,2021-09-12 14:15:28,41.1834,-74.6663,71.56,81,1,9.22
119,New Norfolk,AU,2021-09-12 14:15:30,-42.7826,147.0587,44.92,67,100,1.99
120,Antofagasta,CL,2021-09-12 14:14:31,-23.65,-70.4,66.22,59,99,8.81
121,Hithadhoo,MV,2021-09-12 14:15:30,-0.6,73.0833,84.16,68,85,9.95
122,Lazaro Cardenas,MX,2021-09-12 14:15:31,17.9583,-102.2,78.64,90,100,4.47
123,Portree,GB,2021-09-12 14:15:31,57.4129,-6.1942,57.85,64,6,9.4
124,Shingu,JP,2021-09-12 14:15:31,33.7333,135.9833,75.9,93,100,3.09
125,Chokurdakh,RU,2021-09-12 14:15:31,70.6333,147.9167,43.27,74,42,8.95
126,Mar Del Plata,AR,2021-09-12 14:13:24,-38.0023,-57.5575,57.22,94,90,16.11
127,Port-Gentil,GA,2021-09-12 14:14:14,-0.7193,8.7815,77.47,84,100,13.65
128,Alice Springs,AU,2021-09-12 14:11:52,-23.7,133.8833,62.15,45,0,10.36
129,Coahuayana,MX,2021-09-12 14:15:32,18.7333,-103.6833,78.28,87,82,2.73
130,Vestmannaeyjar,IS,2021-09-12 14:15:32,63.4427,-20.2734,52.79,100,90,26.46
131,Lere,NG,2021-09-12 14:15:33,10.387,8.5726,84.25,60,50,2.73
132,Porto Novo,BJ,2021-09-12 14:15:05,6.4965,2.6036,83.55,71,100,10.92
133,Omsk,RU,2021-09-12 14:15:33,55.0,73.4,48.09,43,40,13.42
134,Ust-Nera,RU,2021-09-12 14:15:33,64.5667,143.2,41.16,69,52,2.95
135,Nemuro,JP,2021-09-12 14:15:34,43.3236,145.575,63.84,89,92,19.48
136,Zeya,RU,2021-09-12 14:15:34,53.75,127.2667,47.16,87,93,3.96
137,Sokolo,ML,2021-09-12 14:15:34,14.7328,-6.1219,95.88,34,54,10.42
138,Esperance,AU,2021-09-12 14:15:35,-33.8667,121.9,47.95,72,10,11.03
139,Pisco,PE,2021-09-12 14:15:35,-13.7,-76.2167,64.02,77,20,6.91
